,name,phone,principal,grades,division
1784,Thomas Jefferson Elementary,540-967-0492,Mrs. Candice Wilkerson,PK-5,Louisa County Public Schools
1785,Thomas Jefferson High,804-780-6028,Candace Veney-Chaplin,9-12,Richmond Public Schools
1786,Thomas Jefferson High for Science and Technology,703-750-8300,Dr. Evan Glazer,9-12,Fairfax County Public Schools
1787,Thomas Walker High,276-445-4111,Mr. Ron Earley,8-12,Lee County Public Schools
1788,Thoreau Middle,703-846-8000,Mr. Greg Hood,7-8,Fairfax County Public Schools
1789,Thornburg Middle,540-582-7600,Mr. Kirk O. Tower,6-8,Spotsylvania County Public Schools
1790,Thoroughgood Elementary,757-648-3920,Dr. Cheryl Zigrang,PK-5,Virginia Beach Public Schools
1791,Three Chopt Elementary,804-673-3755,Ms. Dana V. Baldacci,PK-5,Henrico County Public Schools
1792,Three Oaks Elementary,757-648-3960,Ms. Lisa D. Hannah,PK-5,Virginia Beach Public Schools
1793,Thurgood Marshall Elementary,757-494-7515,Dr. Linda L. Woolard,PK-5,Chesapeake Public Schools
1794,Thurgood Marshall Elementary,703-791-2099,Ms. Denise Huebner,PK-5,Prince William County Public Schools
1795,Tidewater Park Elementary,757-628-2500,Ms. Sharon Phillips,PK-5,Norfolk Public Schools
1796,Timber Lane Elementary,703-206-5300,Mrs. Kimberly N. Cook,PK-6,Fairfax County Public Schools
1797,Toano Middle,757-566-4251,Tracey Jones,6-8,Williamsburg-James City County Public Schools
1798,Tomahawk Creek Middle,804-378-7120,Dr. David Ellena,6-8,Chesterfield County Public Schools
1799,Tomahawk Elementary,434-237-4090,Mrs. Debbie Elliott,PK-5,Campbell County Public Schools
1800,Totaro Elementary,434-848-3209,Dr. Tonia Taylor,PK-5,Brunswick County Public Schools
1801,Trantwood Elementary,757-648-4000,Dr. Jeanne Crocker,PK-5,Virginia Beach Public Schools
1802,Trevilians Elementary,540-967-1108,Amy Scott,PK-5,Louisa County Public Schools
1803,Triangle Elementary,703-221-4114,Ms. Kim Gardziel,PK-5,Prince William County Public Schools
1804,Triplett Business & Tech.,540-477-3161,Barry Arey,,Shenandoah County Public Schools
1805,Troutville Elementary,540-992-1871,Ms. Karen Jo M. Crush,PK-5,Botetourt County Public Schools
1806,Truitt Intermediate,757-494-8014,Mrs. Regina B. Ratcliff,3-5,Chesapeake Public Schools
1807,Tuckahoe Elementary,703-228-5288,Ms. Cynthia Brown,PK-5,Arlington County Public Schools
1808,Tuckahoe Elementary,804-673-3765,Ms. Sonia M. Ford,PK-5,Henrico County Public Schools
1809,Tuckahoe Middle,804-673-3720,Ms. Marilyn H. Royal,6-8,Henrico County Public Schools
1810,Tucker-Capps Elementary,757-825-4641,Dr. Penny H. McIntyre,PK-5,Hampton Public Schools
1811,Tunstall High,434-724-7111,Ms. Barbara H. Brown,9-12,Pittsylvania County Public Schools
1812,Tunstall Middle,434-724-7086,Mrs. Deborah H. Stowe,6-8,Pittsylvania County Public Schools
1813,Turlington Woods Alternative,757-934-6215,Mrs. Pamela B. Lipscomb,,Suffolk Public Schools
1814,Turner Ashby High,540-828-2008,Mr. Steven B. Walk,9-12,Rockingham County Public Schools
1815,Turning Point Alternative Education,540-661-4555, ,,Orange County Public Schools
1816,Tuscarora High,571-252-1900,Pamela Paul-Jacobs,PK-12,Loudoun County Public Schools
1817,Tussing Elementary,804-524-3440,Mr. David K. Staples,PK-5,Colonial Heights Public Schools
1818,Twain Middle,703-313-3700,Baek Chong,7-8,Fairfax County Public Schools
1819,Twin Hickory Elementary,804-360-4700,Mr. Michael Dussault,PK-5,Henrico County Public Schools
1820,Twin Springs Elementary,434-724-2666,Mrs. Kathryn J. Lowry,PK-5,Pittsylvania County Public Schools
1821,Twin Springs High,276-479-2185,Mr. Sammy O. Parks,8-12,Scott County Public Schools
1822,Twin Valley Elementary/Middle,276-498-4537,Dr. Kathy Witt,PK-7,Buchanan County Public Schools
1823,Twin Valley High,276-259-7818,Mr. Russell Street,8-12,Buchanan County Public Schools
1824,Tye River Elementary,434-263-8960,Mr. Greg A. Hill,PK-5,Nelson County Public Schools
1825,Union Hall Elementary,434-724-7010,Mrs. Carolyn M. Harris,PK-5,Pittsylvania County Public Schools
1826,Union High,276-523-1290,Dan Roop,9-12,Wise County Public Schools
1827,Union Mill Elementary,703-322-8500,Ms. Kathleen G. Case,PK-6,Fairfax County Public Schools
1828,Unionville Elementary,540-661-4540,Peggy Kinser,PK-2,Orange County Public Schools
1829,Valley Elementary,540-839-5395,Ms. Crystal Coffman,PK-7,Bath County Public Schools
1830,Valley Institute Elementary,276-642-5500,Ms. Tammy Williams,PK-5,Washington County Public Schools
1831,Varina Elementary,804-795-7010,Mr. Markham H. Tyler,3-5,Henrico County Public Schools
1832,Varina High,804-226-8700,Ms. Ann Marie Seely,9-12,Henrico County Public Schools
1833,Venable Elementary,434-245-2418,Ms. Erin E. Kershner,PK-4,Charlottesville Public Schools
1834,Vernon Johns Junior High,804-862-7020,Dr. Ronnie D. Watson,8-9,Petersburg Public Schools
1835,Verona Elementary,540-248-0141,Dr. Kathleen A. Overstreet,PK-5,Augusta County Public Schools
1836,Victoria Elementary,434-696-2163,Mr. James M. Abernathy,KG-5,Lunenburg County Public Schools
1837,Victory Elementary,757-393-8806,Angela Flowers,KG-6,Portsmouth Public Schools
1838,Victory Elementary,703-257-0356,Donna Kirby,PK-5,Prince William County Public Schools
1839,Vienna Elementary,703-937-6000,Mr. John D. Carmichael,PK-6,Fairfax County Public Schools
1840,Virginia Avenue Charlotte Dehart Elementary,540-665-6330,Ms. Michele Dempsey,PK-4,Winchester Public Schools
1841,Virginia Beach Middle,757-437-4892,Dr. Sandra Brown,6-8,Virginia Beach Public Schools
1842,Virginia Heights Elementary,540-853-2937,Ms. Linda Butts,PK-5,Roanoke Public Schools
1843,Virginia High,276-821-5858,Mr. Ronnie Collins,9-12,Bristol Public Schools
1844,Virginia Hills E.C. Resource Ctr.,703-317-1400,Ms. Jacqueline Martin,PK,Fairfax County Public Schools
1845,Virginia L. Murray Elementary,434-977-4599,Mark Green,PK-5,Albemarle County Public Schools
1846,Virginia Middle,276-821-5660,Mr. Gary Ritchie,6-8,Bristol Public Schools
1847,Virginia Randolph Education Center,804-261-5090,Ms. Diana C. Morris,,Henrico County Public Schools
1848,Virginia Run Elementary,703-988-8900,Ms. Laraine Edwards,PK-6,Fairfax County Public Schools
1849,W.C. Taylor Middle,540-347-6140,Mrs. Ruth P. Nelson,6-8,Fauquier County Public Schools
1850,W.E. Cundiff Elementary,540-857-5009,Ms. Sherry Bryant,PK-5,Roanoke County Public Schools
1851,W.G. Coleman Elementary,540-364-1515,Mrs. Joy Seward,PK-5,Fauquier County Public Schools
1852,W.T. Cooke Elementary,757-437-4827,Mrs. Pam M. Bennis,PK-5,Virginia Beach Public Schools
1853,W.W. Gordon Elementary,804-378-2410,Rosemary Harris,PK-5,Chesterfield County Public Schools
1854,W.W. Robinson Elementary,540-459-5155,Melissa Foltz,PK-5,Shenandoah County Public Schools
1855,Wakefield Forest Elementary,703-503-2300,Ms. Sheri D'Amato,PK-6,Fairfax County Public Schools
1856,Wakefield High,703-228-6700,Mr. Chris Willmore,9-12,Arlington County Public Schools
1857,Walker Upper Elementary,434-245-2412,Mr. Vernon J. Bock,5-6,Charlottesville Public Schools
1858,Walker-Grant Middle,540-372-1145,Ms. Melanie Kay-Wyatt,6-8,Fredericksburg Public Schools
1859,Wallace Middle,276-642-5400,Mr. David Lambert,6-8,Washington County Public Schools
1860,Waller Mill Elementary,757-220-4060,Mrs. Jennifer Goodwin,KG-5,York County Public Schools
1861,Walnut Hill Elementary,804-862-7005,Ms. Belinda Urquhart,KG-5,Petersburg Public Schools
1862,Walter Herron Taylor Elementary,757-628-2525,Miss Mary Ann Bowen,PK-5,Norfolk Public Schools
1863,Waples Mill Elementary,703-390-7700,Ms. Linda Thetford,PK-6,Fairfax County Public Schools
1864,Warhill High,757-565-4615,Jeffrey Carroll,9-12,Williamsburg-James City County Public Schools
1865,Warren County High,540-635-4144,Ms. Ernestine J. Jordan,8-12,Warren County Public Schools
1866,Warren County Middle,540-635-2194,Mr. Alan Fox,6-7,Warren County Public Schools
1867,Warrenton Middle,540-347-6160,Mrs. Barbara Bannister,6-8,Fauquier County Public Schools
1868,Warwick High,757-591-4700,Dr. Rory Stapleton,9-12,Newport News Public Schools
1869,Wasena Elementary,540-853-2914,Ms. Babette Cribbs,KG-5,Roanoke Public Schools
1870,Washington & Lee High,804-493-8015,Ms. Andrea M. Roane,9-12,Westmoreland County Public Schools
1871,Washington Co. Technical,276-739-3140,Mr. Brian Johnson,,Washington County Public Schools
1872,Washington District Elementary,804-224-9100,Ms. Sandy K. Herdle,PK-5,Westmoreland County Public Schools
1873,Washington Mill Elementary,703-619-2500,Mr. Bradley L. Bennink,PK-6,Fairfax County Public Schools
1874,Washington-Henry Elementary,804-723-2300,Dr. Dana R. Jackson,PK-5,Hanover County Public Schools
1875,Washington-Lee Elementary,276-821-5800,Mr. Michael Braswell,PK-5,Bristol Public Schools
1876,Washington-Lee High,703-228-6200,Mr. Gregg Robertson,9-12,Arlington County Public Schools
1877,Watauga Elementary,276-739-3600,Ms. Marie Stanley,PK-5,Washington County Public Schools
1878,Waterford Elementary,540-751-2460,Dr. Ricardy Anderson,PK-5,Loudoun County Public Schools
1879,Waterman Elementary,540-434-8352,Mr. Jeremy Weaver,KG-4,Harrisonburg Public Schools
1880,Watkins Early Childhood Center,757-591-4815,Ms. Sue Waxman,PK,Newport News Public Schools
1881,Waverly Yowell Elementary,540-948-4511,Ms. Karen M. Allen,3-5,Madison County Public Schools
1882,Wayne Hills Center,540-946-4626,Kathy Tucker,PK,Waynesboro Public Schools
1883,Waynesboro High,540-946-4616,Mr. Tim Teachey,9-12,Waynesboro Public Schools
1884,Waynewood Elementary,703-704-7100,Mr. James Meier,PK-6,Fairfax County Public Schools
1885,Weber City Elementary,276-386-7981,Dr. Kellie Johnson,KG-6,Scott County Public Schools
1886,Weems Elementary,571-377-6500,Mr. Dave Rupert,PK-4,Manassas Public Schools
1887,Wenonah Elementary,540-946-4660,Rebecca Jarvis,KG-5,Waynesboro Public Schools
1888,West Central Primary School,434-510-1016,Ms. Amy Barnabei,PK-KG,Fluvanna County Public Schools
1889,West Gate Elementary,703-368-4404,Craig Gfeller,PK-5,Prince William County Public Schools
1890,West Point Elementary,804-843-2030,Ms. Trena Hatcher,PK-5,West Point Public Schools
1891,West Point High,804-843-3630,Mr. Mark Allen Dorsey,9-12,West Point Public Schools
1892,West Point Middle,804-843-9810,Mr. David Daniel,6-8,West Point Public Schools
1893,West Potomac High,703-718-2500,Mr. Bruce Butler,9-12,Fairfax County Public Schools
1894,West Potomac High School Academy,703-718-2500, ,,Fairfax County Public Schools
1895,West Salem Elementary,540-387-2503,Mrs. Debbie Carroll,KG-5,Salem Public Schools
1896,West Springfield Elementary,703-912-4400,Ms. Erin R Jones,PK-6,Fairfax County Public Schools
1897,West Springfield High,703-913-3800,Mr. Mark Greenfelder,9-12,Fairfax County Public Schools
1898,Westbriar Elementary,703-937-1700,Ms. Lisa M Pilson,PK-6,Fairfax County Public Schools
1899,Western Albemarle High,434-823-8700,Dr. John Werner,9-12,Albemarle County Public Schools
1900,Western Branch High,757-638-7900,Dr. Thomas A. Whitley,9-12,Chesapeake Public Schools
1901,Western Branch Intermediate,757-638-7941,Ms. Jataune N. Jones,3-5,Chesapeake Public Schools
1902,Western Branch Middle,757-638-7920,Mrs. Carol T. Stanek,6-8,Chesapeake Public Schools
1903,Western Branch Primary,757-638-7951,Mrs. Gayle J. Bartlett,PK-2,Chesapeake Public Schools
1904,Westfield High,703-488-6300,Mr. Tim Thomas,9-12,Fairfax County Public Schools
1905,Westgate Elementary,703-610-5700,Dr. Julie K Easa,PK-6,Fairfax County Public Schools
1906,Westhaven Elementary,757-393-8855,Mrs. Patricia S. Williams,KG-6,Portsmouth Public Schools
1907,Westlawn Elementary,703-241-5100,Linda A. Ferguson,PK-6,Fairfax County Public Schools
1908,Westover Hills Elementary,804-780-5002,Mrs. Virginia Loving,PK-5,Richmond Public Schools
1909,Westridge Elementary,703-590-3711,Mark Boyd,PK-5,Prince William County Public Schools
1910,Westside Elementary,757-357-3021,Mr. Clint Walters,4-6,Isle of Wight County Public Schools
1911,Westside Elementary,540-853-2967,Ms. Jennifer Dean,PK-5,Roanoke Public Schools
1912,Westview Early Childhood Education Center,804-862-7010,Mrs. Tonya Brown-Fletcher,PK,Petersburg Public Schools
1913,Westwood Hills Elementary,540-946-4670,Mrs. Renae L. Deffenbaugh,KG-5,Waynesboro Public Schools
1914,Westwood Middle,434-797-8860,Mrs. Christie Dawson,6-8,Danville Public Schools
1915,Weyanoke Elementary,703-813-5400,Ms. Annette Almedina-Cabrera,PK-5,Fairfax County Public Schools
1916,White Oaks Elementary,703-923-1400,Ryan Richardson,PK-6,Fairfax County Public Schools
1917,White Oaks Elementary,757-648-4040,Stephanie Haus,PK-5,Virginia Beach Public Schools
1918,Whitman Middle,703-660-2400,Ms. Jean Bell,7-8,Fairfax County Public Schools
1919,Widewater Elementary,540-658-6380,Ms. Kristen McKinney Nash,PK-5,Stafford County Public Schools
1920,Wilbur S. Pence Middle,540-879-2535,Mrs. Mary T. Shifflett,6-8,Rockingham County Public Schools
1921,Wilderness Elementary,540-786-9817,Carroll Lewter,PK-5,Spotsylvania County Public Schools
1922,Willard Model Elementary,757-628-2721,Ms. Julie Honeycutt,PK-5,Norfolk Public Schools
1923,William A. Walton Elementary,804-733-2750,Mrs. Sharon Kushma,PK-5,Prince George County Public Schools
1924,William Byrd High,540-890-3090,Dr. Richard Turner,9-12,Roanoke County Public Schools
1925,William Byrd Middle,540-890-1035,Ms. Tammy Newcomb,6-8,Roanoke County Public Schools
1926,William Campbell High,434-376-2015,Mr. James Rinella,6-12,Campbell County Public Schools
1927,William E. Waters Middle,757-558-2813,Dr. J. Wayne Williams,7-8,Portsmouth Public Schools
1928,William Fleming High,540-853-2781,Mr. Archie Freeman,9-12,Roanoke Public Schools
1929,William Fox Elementary,804-780-6259,Ms. Daniela Jacobs,PK-5,Richmond Public Schools
1930,William H. Ruffner Middle,757-628-2466,Mr. Richard Fraley,6-8,Norfolk Public Schools
1931,William H. Wetsel Middle,540-948-3783,Mr. Tim Taylor,6-8,Madison County Public Schools
1932,William M. Bass Elementary,434-522-3769,Mr. Leverne L. Marshall,PK-5,Lynchburg Public Schools
1933,William Mason Cooper Elementary,757-825-4645,Mr. Sean P. Holleran,PK-5,Hampton Public Schools
1934,William Monroe High,434-985-5273, ,9-12,Greene County Public Schools
1935,William Monroe Middle,434-985-5240, ,6-8,Greene County Public Schools
1936,William Perry Elementary,540-946-4650,Ms. Julie K. Zook,KG-5,Waynesboro Public Schools
1937,William Ramsay Elementary,703-824-6950,Rosario Casiano,KG-5,Alexandria Public Schools
1938,Williams Elementary,757-473-5033,Mr. Timothy P. Sullivan,4-5,Virginia Beach Public Schools
1939,Williamsburg Middle,703-228-5450,Dr. Ann McCarty,6-8,Arlington County Public Schools
1940,Willis A. Jenkins Elementary,757-881-5400,Ms. Sandra Jordan,PK-5,Newport News Public Schools
1941,Willis Elementary,540-745-9430,Ms. Sandra Montgomery,PK-7,Floyd County Public Schools
1942,Willoughby Elementary,757-531-3127,Ms. June Lightfoot,PK-5,Norfolk Public Schools
1943,Willow Springs Elementary,703-679-6000,Ms. Elizabeth Rhein,PK-6,Fairfax County Public Schools
1944,Wilson Elementary,540-245-5040,Mrs. Patricia L Black,PK-5,Augusta County Public Schools
1945,Wilson Memorial High,540-886-4286,Dr. Douglas W. Shifflett Jr.,9-12,Augusta County Public Schools
1946,Wilson Middle,540-245-5185,Mr. Donald D. Curtis,6-8,Augusta County Public Schools
1947,Winding Creek Elementary,540-658-6400,Mr. Elliot F. Bolles,PK-5,Stafford County Public Schools
1948,Windsor Elementary,757-242-4193,Simone Terry,PK-5,Isle of Wight County Public Schools
1949,Windsor High,757-242-6172,Mr. Daniel Soderholm,9-12,Isle of Wight County Public Schools
1950,Windsor Middle,757-242-3229,Mrs. Susan Goetz,6-8,Isle of Wight County Public Schools
1951,Windsor Oaks Elementary,757-648-4120,Ms. Aimee Ferguson,PK-5,Virginia Beach Public Schools
1952,Windsor Woods Elementary,757-648-4160,Mr. C. Drummond Ball,PK-5,Virginia Beach Public Schools
1953,Windy Gap Elementary,540-719-2809,Ms. Brenda H. Hopkins,PK-5,Franklin County Public Schools
1954,Winterpock Elementary,804-763-5051,Gloria Cooper,KG-5,Chesterfield County Public Schools
1955,Wise Co. Alternative Ed. Ctr.,276-328-8612,Dr. Fay Garrison,,Wise County Public Schools
1956,Wise County Career-Technical Center,276-328-6113,Larry W Hamilton,,Wise County Public Schools
1957,Wise Primary,276-328-8019,Dr. Selena Kiser,PK-4,Wise County Public Schools
1958,Wolftrap Elementary,703-319-7300,Ms. Teresa Khuluki,PK-6,Fairfax County Public Schools
1959,Woodberry Hills Elementary,434-799-6466,Ms. Judy Cox,KG-5,Danville Public Schools
1960,Woodbine Pre-School Center,703-791-3151,Mary Ann Adams,PK,Prince William County Public Schools
1961,Woodbridge High,703-497-8000,Mr. David J. Huckestein,9-12,Prince William County Public Schools
1962,Woodbridge Middle,703-494-3181,Skyles Calhoun,6-8,Prince William County Public Schools
1963,Woodbrook Elementary,434-973-6600,Lisa Molinaro,PK-5,Albemarle County Public Schools
1964,Woodburn Elementary,703-641-8200,Ms. Bridget Chapin,PK-6,Fairfax County Public Schools
1965,Woodgrove High,571-751-2600,Mr. W. Sam Shipp,PK-12,Loudoun County Public Schools
1966,Woodlawn Elementary,703-619-4800,Ms. Dawn M. Hendrick,PK-6,Fairfax County Public Schools
1967,Woodlawn Learning Ctr.,804-541-6414,Mrs. Belinda S. Piercy,,Hopewell Public Schools
1968,Woodlawn Pre-School Learning Center,804-541-6414, ,PK,Hopewell Public Schools
1969,Woodley Hills Elementary,703-799-2000,Ms. Sharon D. Aldredge,PK-6,Fairfax County Public Schools
1970,Woodrow Wilson High,757-465-2907,Mr. Timothy E. Johnson,9-12,Portsmouth Public Schools
1971,Woodrow Wilson Middle,540-853-2358,Ms. Rosalind Henderson,6-8,Roanoke Public Schools
1972,Woodside High,757-886-7530,Mr. Sean Callender,9-12,Newport News Public Schools
1973,Woodson High,703-503-4600,Mr. Jeffrey A. Yost,9-12,Fairfax County Public Schools
1974,Woodstock Elementary,757-366-4590,Ms. Amy Hedrick,PK-5,Virginia Beach Public Schools
1975,Woodville Elementary,804-780-4821,Mrs. Rosalind C. Taylor,PK-5,Richmond Public Schools
1976,Woolridge Elementary,804-739-6330,June Edwards,PK-5,Chesterfield County Public Schools
1977,Woolwine Elementary,276-930-2811,Ms. Deandra Owens,PK-7,Patrick County Public Schools
1978,Wythe County Tech Center,276-228-5481, ,,Wythe County Public Schools
1979,Yellow Branch Elementary,434-821-1021,Mrs. Mary Lynne Arnold,PK-5,Campbell County Public Schools
1980,York High,757-898-0354,Dr. Kendra Crump,9-12,York County Public Schools
